d_loss,epoch,g_loss,step
1.6009719371795654,0,1.6324337720870972,49
1.5195446014404297,0,2.2260870933532715,99
1.5550239086151123,0,1.9622448682785034,149
1.8698077201843262,0,1.5482821464538574,199
1.9051499366760254,0,0.685555100440979,249
2.1936264038085938,0,0.6697470545768738,299
1.8437308073043823,0,1.4653064012527466,349
1.8444701433181763,0,1.2942514419555664,399
1.8588581085205078,0,1.3701317310333252,449
1.9916200637817383,0,1.086005449295044,499
1.919399380683899,0,1.2576082944869995,549
1.933809518814087,0,0.8798929452896118,599
1.9465818405151367,0,0.9944055080413818,649
1.8755276203155518,0,1.103792667388916,699
1.91666579246521,0,1.066785454750061,749
1.9480996131896973,0,1.0845774412155151,799
1.9343842267990112,0,1.1031484603881836,849
1.8785970211029053,0,1.2761560678482056,899
1.902782678604126,1,1.1265432834625244,949
1.862619400024414,1,1.2234982252120972,999
1.886784553527832,1,1.1401218175888062,1049
1.9235700368881226,1,1.0801204442977905,1099
1.8654179573059082,1,1.1728637218475342,1149
1.8875597715377808,1,1.231520652770996,1199
1.9101128578186035,1,1.102186918258667,1249
1.8686633110046387,1,1.2353129386901855,1299
1.8381757736206055,1,1.1301374435424805,1349
1.8903005123138428,1,0.9574627876281738,1399
1.8771990537643433,1,1.1726900339126587,1449
1.8429067134857178,1,1.2917327880859375,1499
1.8221538066864014,1,1.1447252035140991,1549
1.831838846206665,1,1.3005590438842773,1599
1.784393548965454,1,1.183548092842102,1649
1.8209116458892822,1,1.2151165008544922,1699
1.7489135265350342,1,1.232265830039978,1749
1.7394593954086304,1,1.187604546546936,1799
1.833650827407837,1,1.3840923309326172,1849
1.8372273445129395,2,1.0016658306121826,1899
1.8076105117797852,2,1.2211401462554932,1949
1.7562717199325562,2,1.1649675369262695,1999
1.790895700454712,2,1.0817309617996216,2049
1.7301745414733887,2,0.9804792404174805,2099
1.812180995941162,2,1.0110070705413818,2149
1.7797794342041016,2,0.9043364524841309,2199
1.851122260093689,2,1.0873392820358276,2249
1.8260605335235596,2,1.292599081993103,2299
1.8188505172729492,2,1.2327522039413452,2349
1.7163875102996826,2,1.3497310876846313,2399
1.6938917636871338,2,1.0143206119537354,2449
1.7605812549591064,2,1.1873416900634766,2499
1.7149180173873901,2,1.1108603477478027,2549
1.7670093774795532,2,0.9978808760643005,2599
1.7064580917358398,2,1.0344523191452026,2649
1.8184713125228882,2,1.1814651489257812,2699
1.7128773927688599,2,1.0857524871826172,2749
1.7131575345993042,2,0.9376662373542786,2799
1.7170099020004272,3,1.160834550857544,2849
1.715376377105713,3,1.1219148635864258,2899
1.8718557357788086,3,1.4623233079910278,2949
1.7127529382705688,3,1.022984504699707,2999
1.6790097951889038,3,1.133965015411377,3049
1.7585128545761108,3,1.0048036575317383,3099
1.749880075454712,3,0.9700825214385986,3149
1.6470603942871094,3,0.9899177551269531,3199
1.637810230255127,3,0.8665215373039246,3249
1.7072407007217407,3,0.9257733225822449,3299
1.7585909366607666,3,0.7017666697502136,3349
1.7393180131912231,3,0.9234014749526978,3399
1.6210042238235474,3,1.1101150512695312,3449
1.750847339630127,3,1.0505861043930054,3499
1.6581727266311646,3,0.9167094826698303,3549
1.5600006580352783,3,0.8772004842758179,3599
1.7365001440048218,3,0.9236493110656738,3649
